"Protein"	"LL1210_T1_rep1"	"LL1210_T1_rep2"	"LL1210_T1_rep3"	"LL1210_T1_rep4"	"LL1210_T2_rep1"	"LL1210_T2_rep2"	"LL1210_T2_rep3"	"LL1210_T2_rep4"	"LL1210_T3_rep1"	"LL1210_T3_rep2"	"LL1210_T3_rep3"	"LL1210_T3_rep4"	"LL1210_T4_rep1"	"LL1210_T4_rep2"	"LL1210_T4_rep3"	"LL1210_T4_rep4"
"WP_003515567.1"	30.11858	30.54323	29.93712	29.84047	29.67118	29.81206	30.06093	29.77405	29.62791	29.05185	29.5005	29.73362	30.31564	30.00126	29.80458	30.4501
"WP_003516250.1"	23.77727	24.76869	24.47606	24.01168	25.03958	24.19889	23.31911	23.93348	23.34595	24.00555	24.56001	24.62282	23.64608	24.34012	24.62426	23.5628
"WP_003512846.1"	25.65919	25.61239	25.51681	25.80267	25.38932	25.01804	24.98306	25.71776	24.16847	25.21062	25.674	25.43648	25.37017	25.69083	24.68915	25.27898
"WP_003511658.1"	28.76714	28.39194	28.04466	27.89857	28.61162	28.48641	28.1773	28.47635	28.86018	28.91197	28.55458	28.71608	28.93757	28.77577	28.61276	28.74248
"WP_003517412.1"	20.24561	20.35213	19.88468	20.4181	19.74926	20.08801	20.31469	19.76267	20.20367	20.02989	20.14535	19.55383	18.52115	20.22157	20.17282	20.10241
"WP_003511662.1"	20.08425	20.60167	19.80857	20.49345	19.6715	20.16774	20.33953	19.68507	18.57445	20.05595	20.17091	19.72311	18.89711	20.47679	20.19019	20.12816
"WP_003516517.1"	25.87584	26.21886	26.26192	25.45902	26.15664	25.79016	26.42109	25.44321	25.74433	24.82026	25.61683	25.42373	25.05823	25.27822	25.65393	25.26552
"WP_003511604.1"	26.96748	25.38514	25.87628	25.50669	24.9365	24.53259	25.30472	25.7151	26.75489	25.51654	25.68608	25.3861	26.41713	24.8177	26.90929	27.23377
"WP_003520966.1"	18.18604	26.69116	19.97127	26.56732	19.83774	20.42529	25.07338	19.85096	20.24496	26.27664	20.24954	27.27971	27.30585	26.2137	26.8575	26.52598
"WP_003514612.1"	27.09242	24.49338	26.53165	24.72157	23.51375	26.51818	23.40338	26.87838	23.58277	23.58842	23.74016	23.74313	26.41092	23.94638	18.35041	20.20736
