Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003517362.1	21.90583	21.83203	20.73075	21.38897	26.4589	24.54937	26.07054	26.28786	24.6394	25.78063	24.46978	24.9182
WP_003516177.1	25.78815	25.19903	24.42694	25.71562	25.51861	24.60529	24.15684	23.86131	26.50906	25.05175	24.09248	24.99581
WP_003516915.1	19.99843	20.83781	19.53821	20.93731	20.81485	19.51341	19.44039	19.95264	20.33132	19.12033	20.20744	20.04495
WP_003515979.1	24.13888	24.22708	23.68454	23.52887	23.58682	23.8265	23.32881	24.71753	18.73736	23.72797	24.17487	25.09254
WP_003513337.1	27.99049	28.06123	26.08631	26.44603	27.29187	27.70181	27.86757	27.22491	20.37171	24.61686	18.37302	20.30783
WP_003513683.1	28.71865	27.43257	26.48657	28.21394	29.00383	28.76568	28.73706	27.96562	26.74653	29.10507	26.63155	28.3086
WP_003516175.1	29.33443	29.33169	29.60107	29.19993	29.46383	29.1238	28.40776	28.9883	28.757	29.40699	28.31726	29.4074
WP_003515310.1	18.47546	19.51877	21.49377	19.6432	26.64551	20.42279	24.03311	23.4688	25.50738	23.58093	18.75633	23.10785
WP_003518455.1	27.80984	29.15475	29.03803	28.59028	28.03273	27.51191	27.71448	28.56916	28.87752	28.95822	28.9474	29.03915
WP_003513449.1	30.10367	29.82273	30.31818	29.71586	29.96431	30.67007	31.86011	30.88951	29.82113	30.18362	30.83018	30.74935
WP_003515915.1	27.63479	27.30802	25.87059	27.86795	27.90214	25.66784	27.781	27.51435	26.77639	25.4599	25.43836	26.44353
WP_003516163.1	27.22489	27.94685	28.12235	28.402	28.17966	27.31817	26.94663	28.32101	28.02893	28.01757	27.08644	27.70947
WP_003515542.1	25.39366	25.85654	24.08996	26.15745	26.25202	25.85092	25.99561	26.23457	26.3306	24.74955	28.29001	26.12497
WP_014522638.1	26.72424	27.31913	27.40561	27.09641	25.12246	26.33899	25.50821	26.43118	24.69811	25.18802	24.5008	24.36855
WP_003514209.1	19.97962	22.18281	21.02739	22.63823	22.36325	23.16513	22.78074	22.15576	20.38851	22.92596	19.36641	21.32825
WP_003518738.1	25.01489	24.91385	24.80211	24.92963	22.81835	24.03474	24.90333	25.68966	24.15427	23.86762	24.58849	24.95249
WP_003515569.1	26.08184	25.20123	26.1446	25.13036	25.46234	26.0681	26.1781	25.32937	25.3425	24.89696	24.66969	25.21697
WP_003512162.1	21.60408	19.397	19.75585	18.88859	19.64099	17.29696	21.42509	20.06221	18.61044	18.74718	21.46861	20.00709
WP_003515540.1	28.8832	28.90502	28.46404	28.43889	28.73262	27.67965	28.57582	28.21861	27.90836	28.54407	28.05789	28.45177
WP_003515565.1	31.21564	30.71632	30.98007	31.51855	30.37867	31.02361	30.5667	31.02803	31.14361	30.74233	31.09397	30.88918
WP_003513187.1	25.79671	26.19053	27.00716	25.08554	26.8924	26.904	27.04359	27.10303	27.146	27.09176	27.07856	27.19181
WP_003514670.1	29.38881	29.1114	28.98289	28.5278	27.33311	28.72461	29.27408	27.66889	27.37006	28.18263	28.60059	29.02022
WP_003513096.1	19.19886	20.32244	24.38312	19.52373	28.27611	20.96813	28.42258	28.47095	26.06568	27.61659	26.32795	26.77879
WP_003512112.1	29.74872	29.26781	29.25634	29.59123	29.59008	29.41639	29.76912	29.23192	28.60464	29.20655	29.2226	29.51898
WP_003515567.1	31.35179	31.29919	31.03831	31.06921	30.79847	30.42571	30.358	30.81353	30.07476	30.26274	30.64071	30.87845
WP_003516250.1	24.58152	24.80446	25.18931	25.25277	24.88498	25.62632	24.81407	24.13061	24.08299	25.38762	24.05716	24.17213
WP_003512846.1	23.31974	24.90339	24.72685	22.78979	23.49338	23.7987	22.53681	24.27575	22.74771	22.59268	21.06413	23.53153
WP_003511658.1	29.19061	29.4236	28.74425	29.30816	29.43302	29.14556	29.66465	29.70013	29.55577	29.926	29.22966	29.29023
WP_003517412.1	21.88408	18.98565	21.65495	22.39172	22.85364	19.1092	20.95176	19.3948	18.98198	19.93419	20.8387	26.4593
WP_003511662.1	20.44292	20.03943	19.63847	20.43168	21.56592	23.18697	23.30409	20.17667	19.57331	19.76424	19.45982	18.32357
