C0 (205 genes)	C1 (144 genes)	C2 (75 genes)	C3 (77 genes)	C4 (94 genes)	C5 (136 genes)	C6 (183 genes)	C7 (90 genes)	C8 (93 genes)	C9 (64 genes)	C10 (65 genes)
WP_003515281.1	WP_003516875.1			WP_003519155.1	WP_003516902.1	WP_003515760.1	WP_003520766.1	WP_003518982.1		
WP_003515363.1	WP_003517004.1			WP_003519398.1	WP_003516973.1	WP_003515850.1	WP_003520966.1	WP_003519144.1		
WP_003515416.1	WP_003517011.1			WP_003520198.1	WP_003516993.1	WP_003515852.1	WP_003523036.1	WP_003519164.1		
WP_003515468.1	WP_003517038.1			WP_003520554.1	WP_003517100.1	WP_003515873.1	WP_014522588.1	WP_003520446.1		
WP_003515474.1	WP_003517060.1			WP_003520705.1	WP_003517163.1	WP_003515875.1	WP_014522610.1	WP_003520981.1		
WP_003515525.1	WP_003517102.1			WP_014522587.1	WP_003517257.1	WP_003515919.1		WP_003521255.1		
WP_003515550.1	WP_003517177.1			WP_014522631.1	WP_003517341.1	WP_003516103.1		WP_014522594.1		
WP_003515551.1	WP_003517274.1			WP_037294696.1	WP_003517378.1	WP_003516233.1		WP_023062381.1		
WP_003515569.1	WP_003517276.1			WP_080552882.1	WP_003517389.1	WP_003516239.1				
WP_003515606.1	WP_003517485.1				WP_003517391.1	WP_003516246.1				
WP_003515616.1	WP_003517488.1				WP_003517405.1	WP_003516256.1				
WP_003515625.1	WP_003517489.1				WP_003517452.1	WP_003516278.1				
WP_003515629.1	WP_003517512.1				WP_003517457.1	WP_003516310.1				
WP_003515632.1	WP_003517663.1				WP_003517464.1	WP_003516377.1				
WP_003515658.1	WP_003517747.1				WP_003517490.1	WP_003516379.1				
WP_003515671.1	WP_003517750.1				WP_003517537.1	WP_003516386.1				
WP_003515673.1	WP_003517772.1				WP_003517637.1	WP_003516388.1				
WP_003515678.1	WP_003517819.1				WP_003517639.1	WP_003516455.1				
WP_003515836.1	WP_003517900.1				WP_003517752.1	WP_003516459.1				
WP_003515847.1	WP_003517916.1				WP_003517935.1	WP_003516470.1				
WP_003515915.1	WP_003517918.1				WP_003517953.1	WP_003516971.1				
WP_003515939.1	WP_003517938.1				WP_003517972.1	WP_003516997.1				
WP_003516150.1	WP_003517959.1				WP_003517984.1	WP_003517076.1				
WP_003516160.1	WP_003517982.1				WP_003517988.1	WP_003517098.1				
WP_003516166.1	WP_003517992.1				WP_003518003.1	WP_003517112.1				
WP_003516227.1	WP_003518000.1				WP_003518029.1	WP_003517145.1				
WP_003516243.1	WP_003518334.1				WP_003518031.1	WP_003517147.1				
WP_003516249.1	WP_003518339.1				WP_003518160.1	WP_003517161.1				
WP_003516273.1	WP_003518390.1				WP_003518165.1	WP_003517165.1				
WP_003516324.1	WP_003518486.1				WP_003518452.1	WP_003517181.1				
WP_003516363.1	WP_003518492.1				WP_003518456.1	WP_003517183.1				
WP_003516440.1	WP_003518575.1				WP_003518538.1	WP_003517206.1				
WP_003516465.1	WP_003518592.1				WP_003518707.1	WP_003517211.1				
WP_003516495.1	WP_003518624.1				WP_003518726.1	WP_003517282.1				
WP_003516497.1	WP_003518631.1				WP_003518875.1	WP_003517346.1				
WP_003516517.1	WP_003518649.1				WP_003518935.1	WP_003517379.1				
WP_003516520.1	WP_003518662.1				WP_003519039.1	WP_003517403.1				
WP_003516530.1	WP_003518681.1				WP_003519061.1	WP_003517416.1				
WP_003516575.1	WP_003518711.1				WP_003519094.1	WP_003517446.1				
WP_003516596.1	WP_003518757.1				WP_003519255.1	WP_003517459.1				
WP_003516613.1	WP_003518759.1				WP_003519324.1	WP_003517463.1				
WP_003516657.1	WP_003518807.1				WP_003519439.1	WP_003517525.1				
WP_003516678.1	WP_003518897.1				WP_003519966.1	WP_003517611.1				
WP_003516738.1	WP_003518955.1				WP_003520327.1	WP_003517654.1				
WP_003516871.1	WP_003519009.1				WP_003520372.1	WP_003517712.1				
WP_003516876.1	WP_003519033.1				WP_003520409.1	WP_003517736.1				
WP_003516923.1	WP_003519113.1				WP_003520701.1	WP_003517766.1				
WP_003517016.1	WP_003519334.1				WP_003520963.1	WP_003517768.1				
WP_003517020.1	WP_003519375.1				WP_003520980.1	WP_003517797.1				
WP_003517046.1	WP_003519385.1				WP_003521649.1	WP_003517836.1				
WP_003517073.1	WP_003519428.1				WP_014522658.1	WP_003517888.1				
WP_003517085.1	WP_003519429.1					WP_003517930.1				
WP_003517204.1	WP_003519574.1					WP_003517965.1				
WP_003517278.1	WP_003521121.1					WP_003517983.1				
WP_003517284.1	WP_004463666.1					WP_003517989.1				
WP_003517383.1	WP_004463776.1					WP_003517993.1				
WP_003517455.1	WP_014522595.1					WP_003518049.1				
WP_003517461.1	WP_014522626.1					WP_003518076.1				
WP_003517493.1	WP_037295047.1					WP_003518136.1				
WP_003517495.1						WP_003518218.1				
WP_003517549.1						WP_003518237.1				
WP_003517595.1						WP_003518248.1				
WP_003517604.1						WP_003518270.1				
WP_003517627.1						WP_003518396.1				
WP_003517722.1						WP_003518521.1				
WP_003517741.1						WP_003518533.1				
WP_003517748.1						WP_003518540.1				
WP_003517769.1						WP_003518722.1				
