ProteinID	GO
WP_003511715.1	GO:0006633,GO:0006631,GO:0022607,GO:0051289,GO:0043933,GO:0019752,GO:0030497,GO:0009409,GO:0003674,GO:0005488,GO:0044283,GO:0000166,GO:0072330,GO:0044699,GO:0016491,GO:1901576,GO:0044710,GO:0044711,GO:0016628,GO:0071822,GO:0070417,GO:0016627,GO:0070271,GO:0051260,GO:0016043,GO:1901363,GO:0065003,GO:0071704,GO:0016740,GO:0016746,GO:0071840,GO:0016747,GO:0006461,GO:0006629,GO:0050662,GO:0009987,GO:0050661,GO:1901265,GO:0032787,GO:0036094,GO:0003824,GO:0009058,GO:0008150,GO:0008152,GO:0009266,GO:0043436,GO:0044255,GO:0009628,GO:0055114,GO:0008610,GO:0051259,GO:0044238,GO:0051716,GO:0006082,GO:0051262,GO:0046394,GO:0097159,GO:0050896,GO:0044763,GO:0016053,GO:0044237,GO:0016631,GO:0004312,GO:0044085,GO:0006950,GO:0048037,GO:0004318,GO:0004319,GO:0044249,GO:0033554,GO:0044281
WP_003511717.1	GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0071944,GO:0016887,GO:0005886,GO:0005524
WP_003511724.1	GO:0016021,GO:0055085
WP_003511730.1	GO:0006265,GO:0003690,
WP_003511731.1	GO:0016758,GO:0009247,GO:0008194,
WP_003511746.1	GO:0071805,GO:0006813,GO:0008324,GO:0016539,GO:0005886,GO:0015079
WP_003511748.1	GO:0005267,GO:0005261,GO:0031420,GO:0003674,GO:0071944,GO:0030117,GO:0005488,GO:0051179,GO:0022838,GO:0031226,GO:0031224,GO:0043169,GO:0030955,GO:0005575,GO:0071804,GO:0071805,GO:0009987,GO:0006886,GO:0016020,GO:0015077,GO:0043167,GO:0008150,GO:0044699,GO:0006812,GO:0022803,GO:0046873,GO:0046872,GO:0022820,GO:0005216,GO:0042802,GO:0042803,GO:0008324,GO:0006813,GO:0005215,GO:0006811,GO:0006810,GO:0034220,GO:0044765,GO:0030001,GO:0005887,GO:0005886,GO:0015379,GO:0051234,GO:0035826,GO:0022891,GO:0022890,GO:0022892,GO:0016192,GO:0055085,GO:0044459,GO:0044464,GO:0005623,GO:0015672,GO:0015075,GO:0044763,GO:0022857,GO:0015267,GO:0005515,GO:0044425,GO:0046983,GO:0035827,GO:0015079,GO:0016021
WP_003511751.1	GO:0031419,,GO:0051536,GO:0003824,GO:0046872
WP_003511753.1	GO:0004674,GO:0006464,GO:0016310
WP_003511780.1	GO:0016021,GO:0004629,GO:0008270,GO:0016788
WP_003511862.1	GO:0016810,GO:0005975
WP_003511872.1	GO:0016021,GO:0007165,GO:0005515
WP_003511903.1	GO:0102100
WP_003511909.1	GO:0046556,GO:0046373,GO:0000272,GO:0005576,GO:0004553,GO:0005975,GO:0046872,GO:0009057
WP_003511911.1	GO:0005737,GO:0006879,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0008199,GO:0006826,GO:0044424,GO:0055114,GO:0016491
WP_003511913.1	GO:0016021
WP_003511915.1	GO:0030234,GO:0050790,GO:0006808
WP_003511918.1	GO:0030234,GO:0050790,GO:0006808
WP_003511942.1	GO:0004435,GO:0006080,GO:0006629,GO:0030246,GO:0016985,GO:0000272,GO:0016162,GO:0005576,GO:0004553,GO:0035556
WP_003511947.1	GO:0006355,GO:0003677
WP_003511951.1	GO:0005737,GO:0016661,GO:0051539,GO:0051536,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0003824,GO:0050418,GO:0044424,GO:0046872,GO:0055114,GO:0016491
WP_003511963.1	GO:0004784,GO:0055114,GO:0019430
WP_003511964.1	GO:0016787,GO:0005525
WP_003511980.1	GO:0043565,GO:0003677
WP_003511984.1	GO:0016021
WP_003511986.1	GO:0090305,GO:0071944,GO:0031419,GO:0005618,GO:0016020,GO:0000166,GO:0016539,GO:0006260,GO:0046872,GO:0005524,GO:0005737,GO:0030312,GO:0030001,GO:0005886,GO:0055114,GO:0004519,GO:0005829,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0004748,GO:0044444,GO:0044424,GO:0071897
