Protein	Locus
WP_003517232.1	Clo1313_1330
ADU73237.1	Clo1313_0141
ADU74132.1	Clo1313_1068
WP_003516459.1	Clo1313_0016
ADU74434.1	Clo1313_1371
ADU74293.1	Clo1313_1229
WP_003514543.1	Clo1313_0411
WP_003517985.1	Clo1313_1733
ADU75554.1	Clo1313_2550
ADU74311.1	Clo1313_1248
ADU73652.1	Clo1313_0570
ADU74186.1	Clo1313_1122
ADU75437.1	Clo1313_2423
WP_003515634.1	Clo1313_1173
WP_003512879.1	Clo1313_0240
ADU74610.1	Clo1313_1548
WP_003517100.1	Clo1313_0896
WP_003512612.1	Clo1313_1870
ADU75078.1	Clo1313_2035
ADU73615.1	Clo1313_0530
ADU75915.1	Clo1313_2935
ADU73464.1	Clo1313_0374
ADU75258.1	Clo1313_2223
ADU73635.1	Clo1313_0551
ADU75607.1	Clo1313_2607
ADU73609.1	Clo1313_0524
ADU75755.1	Clo1313_2771
ADU74474.1	Clo1313_1412
ADU74305.1	Clo1313_1241
WP_003515390.1	Clo1313_0281
WP_003513620.1	Clo1313_2890
WP_003512095.1	Clo1313_2131
WP_003512340.1	Clo1313_2002
ADU73601.1	Clo1313_0516
ADU73352.1	Clo1313_0259
WP_003516315.1	Clo1313_1454
WP_003511615.1	Clo1313_0659
ADU75900.1	Clo1313_2920
ADU74371.1	Clo1313_1308
ADU74586.1	Clo1313_1524
ADU75960.1	Clo1313_2982
WP_003518445.1	Clo1313_2626
WP_003513275.1	Clo1313_0026
ADU74522.1	Clo1313_1460
WP_004463712.1	Clo1313_0936
WP_003515031.1	Clo1313_0301
ADU73728.1	Clo1313_0648
WP_003517237.1	Clo1313_1327
ADU73302.1	Clo1313_0207
ADU74740.1	Clo1313_1683
ADU75615.1	Clo1313_2615
WP_003518582.1	Clo1313_1292
ADU74400.1	Clo1313_1337
ADU74693.1	Clo1313_1632
ADU76003.1	Clo1313_3025
ADU73716.1	Clo1313_0636
ADU74063.1	Clo1313_0995
ADU74212.1	Clo1313_1148
ADU73541.1	Clo1313_0452
ADU74606.1	Clo1313_1544
ADU75256.1	Clo1313_2221
ADU73366.1	Clo1313_0275
ADU75675.1	Clo1313_2686
ADU75609.1	Clo1313_2609
ADU75598.1	Clo1313_2597
ADU75741.1	Clo1313_2757
WP_003514923.1	Clo1313_0539
WP_003516657.1	Clo1313_1551
ADU73844.1	Clo1313_0767
WP_003516670.1	Clo1313_1544
WP_014522642.1	Clo1313_2518
WP_003513991.1	Clo1313_2646
ADU75743.1	Clo1313_2759
WP_003513254.1	Clo1313_0036
WP_003514198.1	Clo1313_2753
WP_003515814.1	Clo1313_2486
ADU73555.1	Clo1313_0466
WP_003519124.1	Clo1313_1103
ADU74442.1	Clo1313_1379
WP_003512674.1	Clo1313_1833
WP_003516592.1	Clo1313_1580
ADU74689.1	Clo1313_1628
WP_003512846.1	Clo1313_0255
WP_003518935.1	Clo1313_2212
ADU74161.1	Clo1313_1097
WP_003519977.1	Clo1313_0028
ADU74602.1	Clo1313_1540
WP_003515686.1	Clo1313_1145
ADU73495.1	Clo1313_0406
WP_003513308.1	Clo1313_0007
WP_003519106.1	Clo1313_1027
ADU74661.1	Clo1313_1600
ADU73114.1	Clo1313_0014
ADU75712.1	Clo1313_2728
ADU74966.1	Clo1313_1915
ADU74720.1	Clo1313_1663
ADU73202.1	Clo1313_0105
WP_003518002.1	Clo1313_1717
WP_003517725.1	Clo1313_2283
ADU73939.1	Clo1313_0871
WP_003517398.1	Clo1313_2307
WP_003512240.1	Clo1313_2059
ADU74393.1	Clo1313_1330
ADU74736.1	Clo1313_1679
WP_003513819.1	Clo1313_2554
ADU74147.1	Clo1313_1083
WP_003516071.1	Clo1313_0760
WP_003516273.1	Clo1313_1481
WP_003514093.1	Clo1313_2698
WP_003512939.1	Clo1313_0204
ADU74244.1	Clo1313_1180
WP_003517563.1	Clo1313_1707
WP_003511602.1	Clo1313_0650
ADU75689.1	Clo1313_2705
WP_003517366.1	Clo1313_2330
WP_003515378.1	Clo1313_0297
WP_003513910.1	Clo1313_2605
ADU73129.1	Clo1313_0029
WP_003513805.1	Clo1313_2547
ADU75459.1	Clo1313_2445
WP_003515606.1	Clo1313_1188
ADU73945.1	Clo1313_0877
WP_003518301.1	Clo1313_0838
ADU73903.1	Clo1313_0834
ADU75203.1	Clo1313_2163
ADU73327.1	Clo1313_0233
ADU75357.1	Clo1313_2335
WP_003517436.1	Clo1313_1019
WP_003516143.1	Clo1313_0708
ADU75347.1	Clo1313_2325
ADU75708.1	Clo1313_2724
WP_003518248.1	Clo1313_0858
ADU74155.1	Clo1313_1091
WP_003516586.1	Clo1313_1586
WP_003513195.1	Clo1313_0070
WP_003512174.1	Clo1313_2093
WP_003517416.1	Clo1313_2298
ADU74469.1	Clo1313_1407
WP_003513175.1	Clo1313_0079
WP_003516571.1	Clo1313_1594
WP_003520554.1	Clo1313_0973
ADU73655.1	Clo1313_0573
ADU75335.1	Clo1313_2309
ADU75273.1	Clo1313_2241
ADU74149.1	Clo1313_1085
WP_003511705.1	Clo1313_0715
ADU74566.1	Clo1313_1504
WP_003514660.1	Clo1313_0464
ADU75620.1	Clo1313_2620
WP_003513944.1	Clo1313_2621
WP_003518381.1	Clo1313_2189
ADU74475.1	Clo1313_1413
ADU74924.1	Clo1313_1872
ADU75428.1	Clo1313_2411
WP_003512143.1	Clo1313_2107
ADU75476.1	Clo1313_2462
WP_003512389.1	Clo1313_1974
WP_003513992.1	Clo1313_2647
WP_003519429.1	Clo1313_1078
WP_003514395.1	Clo1313_0357
ADU75263.1	Clo1313_2229
WP_003512200.1	Clo1313_2074
ADU75494.1	Clo1313_2482
WP_003519435.1	Clo1313_1072
ADU73220.1	Clo1313_0123
ADU73598.1	Clo1313_0513
WP_014522588.1	Clo1313_0090
WP_003513786.1	Clo1313_2540
ADU73907.1	Clo1313_0838
WP_003515733.1	Clo1313_1121
ADU75412.1	Clo1313_2395
ADU73733.1	Clo1313_0653
ADU74952.1	Clo1313_1901
ADU75907.1	Clo1313_2927
WP_003520209.1	Clo1313_2722
WP_003511872.1	Clo1313_0784
WP_003514637.1	Clo1313_0452
WP_003520287.1	Clo1313_0791
ADU75595.1	Clo1313_2594
ADU73649.1	Clo1313_0567
ADU75166.1	Clo1313_2125
WP_003511737.1	Clo1313_0731
ADU74467.1	Clo1313_1405
ADU73772.1	Clo1313_0693
WP_003518455.1	Clo1313_2959
WP_003513891.1	Clo1313_2597
ADU75207.1	Clo1313_2167
ADU73301.1	Clo1313_0206
WP_003516822.1	Clo1313_2867
ADU75521.1	Clo1313_2515
ADU73760.1	Clo1313_0680
ADU73280.1	Clo1313_0185
ADU75501.1	Clo1313_2490
WP_003520182.1	Clo1313_0871
WP_003514904.1	Clo1313_0552
ADU75217.1	Clo1313_2177
WP_003516854.1	Clo1313_2842
ADU74789.1	Clo1313_1732
WP_003517619.1	Clo1313_1682
ADU75872.1	Clo1313_2892
WP_003516547.1	Clo1313_1606
WP_003513581.1	Clo1313_2910
ADU75151.1	Clo1313_2110
ADU73768.1	Clo1313_0689
ADU74447.1	Clo1313_1384
WP_003512947.1	Clo1313_0200
WP_003512026.1	Clo1313_2161
WP_003513253.1	Clo1313_0037
ADU75509.1	Clo1313_2498
ADU74842.1	Clo1313_1786
WP_003518283.1	Clo1313_0847
WP_003516091.1	Clo1313_0751
ADU75515.1	Clo1313_2506
ADU75386.1	Clo1313_2369
WP_003517942.1	Clo1313_1758
ADU74865.1	Clo1313_1809
WP_003512387.1	Clo1313_1975
WP_003523036.1	Clo1313_0875
ADU74022.1	Clo1313_0954
ADU73885.1	Clo1313_0816
WP_003515476.1	Clo1313_0169
ADU74879.1	Clo1313_1823
ADU74054.1	Clo1313_0986
ADU73913.1	Clo1313_0844
WP_014522635.1	Clo1313_2267
WP_003515018.1	Clo1313_0312
WP_003517330.1	Clo1313_2347
WP_003518049.1	Clo1313_2071
ADU74871.1	Clo1313_1815
WP_003513303.1	Clo1313_0010
WP_003512288.1	Clo1313_2029
WP_003518029.1	Clo1313_2083
ADU74891.1	Clo1313_1835
ADU75634.1	Clo1313_2634
ADU74032.1	Clo1313_0964
ADU74000.1	Clo1313_0932
WP_003514726.1	Clo1313_0509
ADU74160.1	Clo1313_1096
WP_003514141.1	Clo1313_2727
ADU73413.1	Clo1313_0322
WP_003516738.1	Clo1313_2754
WP_003517326.1	Clo1313_2349
ADU74715.1	Clo1313_1658
ADU75209.1	Clo1313_2169
WP_003517350.1	Clo1313_2338
ADU75754.1	Clo1313_2770
ADU73395.1	Clo1313_0304
WP_003519227.1	Clo1313_0800
ADU74368.1	Clo1313_1305
ADU74709.1	Clo1313_1652
ADU75682.1	Clo1313_2695
WP_003516730.1	Clo1313_2768
ADU73831.1	Clo1313_0753
ADU74787.1	Clo1313_1730
WP_003518454.1	Clo1313_2603
ADU74547.1	Clo1313_1485
WP_003514839.1	Clo1313_0586
WP_003516184.1	Clo1313_1526
ADU74701.1	Clo1313_1643
WP_003516164.1	Clo1313_1536
ADU75388.1	Clo1313_2371
ADU73819.1	Clo1313_0741
WP_003514670.1	Clo1313_0469
ADU74275.1	Clo1313_1211
ADU73380.1	Clo1313_0289
WP_003515531.1	Clo1313_1229
ADU75693.1	Clo1313_2709
ADU73452.1	Clo1313_0362
WP_003513736.1	Clo1313_2523
WP_003515551.1	Clo1313_1217
WP_080514903.1	Clo1313_1692
ADU74482.1	Clo1313_1420
ADU74269.1	Clo1313_1205
WP_003516895.1	Clo1313_0596
WP_003515572.1	Clo1313_1207
WP_003512127.1	Clo1313_2115
ADU74632.1	Clo1313_1571
ADU74763.1	Clo1313_1706
WP_003518460.1	Clo1313_2952
WP_003515559.1	Clo1313_1213
ADU74081.1	Clo1313_1013
ADU74616.1	Clo1313_1554
WP_003516379.1	Clo1313_1428
WP_003516159.1	Clo1313_0676
ADU75020.1	Clo1313_1973
ADU74452.1	Clo1313_1389
WP_003511555.1	Clo1313_0631
WP_003513460.1	Clo1313_2970
ADU75336.1	Clo1313_2310
ADU75295.1	Clo1313_2263
WP_003515892.1	Clo1313_2450
ADU73502.1	Clo1313_0413
ADU74648.1	Clo1313_1587
ADU75449.1	Clo1313_2435
WP_003517322.1	Clo1313_2351
ADU74628.1	Clo1313_1567
ADU74095.1	Clo1313_1027
ADU75048.1	Clo1313_2002
WP_003512574.1	Clo1313_1890
WP_003513767.1	Clo1313_2531
ADU73525.1	Clo1313_0436
ADU73505.1	Clo1313_0416
WP_003511604.1	Clo1313_0652
WP_003517185.1	Clo1313_1355
ADU75475.1	Clo1313_2461
ADU73539.1	Clo1313_0450
WP_003512910.1	Clo1313_0221
ADU74959.1	Clo1313_1908
WP_003512688.1	Clo1313_1822
ADU75798.1	Clo1313_2818
ADU74354.1	Clo1313_1291
ADU73807.1	Clo1313_0729
ADU74975.1	Clo1313_1925
ADU73531.1	Clo1313_0442
WP_003512010.1	Clo1313_2174
ADU75790.1	Clo1313_2810
WP_003515210.1	Clo1313_2703
WP_003514677.1	Clo1313_0473
ADU74255.1	Clo1313_1191
WP_003517834.1	Clo1313_2229
ADU73249.1	Clo1313_0153
ADU75457.1	Clo1313_2443
WP_003515985.1	Clo1313_2415
WP_003512018.1	Clo1313_2166
WP_003513908.1	Clo1313_2604
WP_003518612.1	Clo1313_1277
WP_003517257.1	Clo1313_1317
WP_003518959.1	Clo1313_2201
WP_003515999.1	Clo1313_2407
ADU75101.1	Clo1313_2060
ADU74985.1	Clo1313_1937
WP_003516568.1	Clo1313_1596
ADU73787.1	Clo1313_0709
ADU75202.1	Clo1313_2162
ADU74553.1	Clo1313_1491
ADU73696.1	Clo1313_0616
ADU75447.1	Clo1313_2433
ADU73137.1	Clo1313_0037
WP_003512807.1	Clo1313_0275
WP_003514112.1	Clo1313_2713
ADU75824.1	Clo1313_2844
WP_003511942.1	Clo1313_2202
ADU75157.1	Clo1313_2116
WP_003516257.1	Clo1313_1492
WP_003519029.1	Clo1313_1806
ADU75568.1	Clo1313_2564
ADU75034.1	Clo1313_1987
WP_003515045.1	Clo1313_2660
WP_003517045.1	Clo1313_0918
ADU73178.1	Clo1313_0080
ADU73269.1	Clo1313_0174
ADU73797.1	Clo1313_0719
WP_003515499.1	Clo1313_1245
ADU74819.1	Clo1313_1762
WP_003517490.1	Clo1313_0996
ADU74839.1	Clo1313_1783
WP_003518979.1	Clo1313_2887
ADU74470.1	Clo1313_1408
ADU74965.1	Clo1313_1914
WP_003515658.1	Clo1313_1161
ADU75226.1	Clo1313_2186
WP_003512384.1	Clo1313_1977
ADU73261.1	Clo1313_0166
WP_003521232.1	Clo1313_1206
WP_003516982.1	Clo1313_0950
ADU73142.1	Clo1313_0042
ADU73275.1	Clo1313_0180
WP_003516702.1	Clo1313_2785
WP_003519442.1	Clo1313_1649
ADU73986.1	Clo1313_0918
ADU74309.1	Clo1313_1245
ADU73467.1	Clo1313_0377
ADU75845.1	Clo1313_2865
WP_003517989.1	Clo1313_1729
WP_003518588.1	Clo1313_1289
ADU75550.1	Clo1313_2546
ADU74315.1	Clo1313_1252
ADU73192.1	Clo1313_0095
ADU75540.1	Clo1313_2536
WP_003513205.1	Clo1313_0065
WP_003517593.1	Clo1313_1695
ADU73625.1	Clo1313_0541
ADU75163.1	Clo1313_2122
ADU73247.1	Clo1313_0151
ADU74003.1	Clo1313_0935
WP_014522644.1	Clo1313_2524
WP_003516409.1	Clo1313_0078
ADU74182.1	Clo1313_1118
WP_003514146.1	Clo1313_2729
WP_003512809.1	Clo1313_0274
WP_003518660.1	Clo1313_1253
ADU73631.1	Clo1313_0547
ADU73404.1	Clo1313_0313
ADU74585.1	Clo1313_1523
ADU75758.1	Clo1313_2774
ADU75919.1	Clo1313_2939
WP_003518296.1	Clo1313_0842
WP_003519476.1	Clo1313_0781
ADU75173.1	Clo1313_2132
ADU75189.1	Clo1313_2148
WP_003518803.1	Clo1313_0424
ADU73348.1	Clo1313_0254
ADU75094.1	Clo1313_2053
WP_003518982.1	Clo1313_2881
ADU73639.1	Clo1313_0555
WP_003517632.1	Clo1313_1675
WP_003519027.1	Clo1313_1808
ADU73732.1	Clo1313_0652
WP_003515844.1	Clo1313_2470
WP_003520706.1	Clo1313_2370
ADU73436.1	Clo1313_0346
WP_003514572.1	Clo1313_0421
ADU73387.1	Clo1313_0296
WP_003514375.1	Clo1313_0341
WP_003516867.1	Clo1313_2825
ADU73840.1	Clo1313_0762
WP_003514458.1	Clo1313_0388
WP_003518303.1	Clo1313_0837
WP_003515959.1	Clo1313_2422
WP_003516637.1	Clo1313_1563
WP_003518407.1	Clo1313_2168
ADU74744.1	Clo1313_1687
ADU73850.1	Clo1313_0777
ADU75964.1	Clo1313_2986
WP_003512608.1	Clo1313_1872
ADU74853.1	Clo1313_1797
ADU75944.1	Clo1313_2966
WP_003515945.1	Clo1313_2427
WP_003515029.1	Clo1313_0302
ADU73545.1	Clo1313_0456
ADU73362.1	Clo1313_0271
WP_003513713.1	Clo1313_2832
ADU74764.1	Clo1313_1707
WP_003519013.1	Clo1313_1983
ADU73565.1	Clo1313_0476
ADU75671.1	Clo1313_2680
ADU74067.1	Clo1313_0999
WP_003511648.1	Clo1313_0670
ADU73912.1	Clo1313_0843
ADU75643.1	Clo1313_2644
WP_003517450.1	Clo1313_1012
ADU75899.1	Clo1313_2919
ADU74208.1	Clo1313_1144
WP_003516602.1	Clo1313_1576
ADU73559.1	Clo1313_0470
ADU75738.1	Clo1313_2754
ADU74389.1	Clo1313_1326
ADU73579.1	Clo1313_0490
WP_003514439.1	Clo1313_0379
WP_003517375.1	Clo1313_2325
WP_003514852.1	Clo1313_0577
ADU73828.1	Clo1313_0750
WP_003518218.1	Clo1313_0873
ADU74153.1	Clo1313_1089
ADU75001.1	Clo1313_1954
WP_003513837.1	Clo1313_2569
WP_003515277.1	Clo1313_0402
WP_003518481.1	Clo1313_2935
ADU73499.1	Clo1313_0410
ADU75496.1	Clo1313_2484
WP_003519437.1	Clo1313_1070
WP_003521118.1	Clo1313_2268
WP_003512498.1	Clo1313_1920
ADU75726.1	Clo1313_2742
WP_003511628.1	Clo1313_0663
WP_003517916.1	Clo1313_1770
WP_003515416.1	Clo1313_0262
WP_003517875.1	Clo1313_2101
WP_003512606.1	Clo1313_1873
ADU74665.1	Clo1313_1604
WP_003520976.1	Clo1313_1571
WP_003513827.1	Clo1313_2560
WP_003512921.1	Clo1313_0214
ADU74270.1	Clo1313_1206
ADU73941.1	Clo1313_0873
ADU75597.1	Clo1313_2596
ADU74397.1	Clo1313_1334
ADU73110.1	Clo1313_0010
ADU73973.1	Clo1313_0905
WP_003513433.1	Clo1313_2983
WP_003517920.1	Clo1313_1768
ADU75587.1	Clo1313_2586
ADU73130.1	Clo1313_0030
ADU75704.1	Clo1313_2720
WP_003514336.1	Clo1313_0334
ADU75116.1	Clo1313_2075
ADU74206.1	Clo1313_1142
WP_003512224.1	Clo1313_2066
WP_003517042.1	Clo1313_0921
ADU75075.1	Clo1313_2032
ADU74387.1	Clo1313_1324
WP_004463317.1	Clo1313_1514
WP_003512204.1	Clo1313_2072
WP_003518396.1	Clo1313_2178
WP_003518379.1	Clo1313_2192
WP_003518881.1	Clo1313_1042
ADU75819.1	Clo1313_2839
ADU75353.1	Clo1313_2331
WP_003516489.1	Clo1313_1634
WP_003513356.1	Clo1313_3030
ADU75377.1	Clo1313_2355
ADU73125.1	Clo1313_0025
ADU75120.1	Clo1313_2079
WP_003515602.1	Clo1313_1190
WP_003517038.1	Clo1313_0923
WP_003517493.1	Clo1313_0993
ADU74659.1	Clo1313_1598
ADU75143.1	Clo1313_2102
ADU75061.1	Clo1313_2017
ADU73969.1	Clo1313_0901
WP_003513643.1	Clo1313_2880
WP_003520526.1	Clo1313_0887
WP_003515342.1	Clo1313_0349
WP_003517918.1	Clo1313_1769
WP_003514842.1	Clo1313_0585
ADU73904.1	Clo1313_0835
ADU75842.1	Clo1313_2862
WP_003516495.1	Clo1313_1631
WP_003517112.1	Clo1313_0890
WP_003520733.1	Clo1313_2967
ADU74419.1	Clo1313_1356
WP_003515618.1	Clo1313_1181
WP_003512178.1	Clo1313_2089
ADU74131.1	Clo1313_1067
WP_003515883.1	Clo1313_2453
ADU74562.1	Clo1313_1500
ADU73651.1	Clo1313_0569
ADU73584.1	Clo1313_0495
WP_003513829.1	Clo1313_2562
ADU75838.1	Clo1313_2858
ADU74280.1	Clo1313_1216
ADU75599.1	Clo1313_2599
ADU75140.1	Clo1313_2099
ADU73244.1	Clo1313_0148
WP_003511692.1	Clo1313_0711
ADU73665.1	Clo1313_0583
ADU75118.1	Clo1313_2077
ADU74947.1	Clo1313_1896
WP_003513025.1	Clo1313_0146
WP_003519014.1	Clo1313_1982
ADU75267.1	Clo1313_2234
ADU73317.1	Clo1313_0223
WP_003511715.1	Clo1313_0720
ADU75604.1	Clo1313_2604
WP_003512418.1	Clo1313_1961
WP_003512903.1	Clo1313_0228
ADU74908.1	Clo1313_1855
ADU75571.1	Clo1313_2568
ADU74439.1	Clo1313_1376
ADU73794.1	Clo1313_0716
WP_003515819.1	Clo1313_2483
WP_003514399.1	Clo1313_0360
ADU75432.1	Clo1313_2416
ADU75243.1	Clo1313_2203
WP_003517489.1	Clo1313_0997
WP_003514377.1	Clo1313_0343
ADU73670.1	Clo1313_0588
ADU74431.1	Clo1313_1368
ADU75903.1	Clo1313_2923
ADU73610.1	Clo1313_0525
WP_003511653.1	Clo1313_0672
WP_003512623.1	Clo1313_1867
ADU74932.1	Clo1313_1880
ADU74799.1	Clo1313_1742
ADU74425.1	Clo1313_1362
WP_003517781.1	Clo1313_2255
WP_003515805.1	Clo1313_2492
WP_003518557.1	Clo1313_0448
WP_003514920.1	Clo1313_0541
WP_003516654.1	Clo1313_1552
WP_003511789.1	Clo1313_0746
WP_003516505.1	Clo1313_1626
WP_003516826.1	Clo1313_2865
ADU73305.1	Clo1313_0210
ADU74984.1	Clo1313_1936
WP_003518631.1	Clo1313_1268
WP_003514465.1	Clo1313_0392
WP_003518777.1	Clo1313_1377
ADU74417.1	Clo1313_1354
WP_003520172.1	Clo1313_0859
WP_003514173.1	Clo1313_2742
ADU74223.1	Clo1313_1159
WP_003516089.1	Clo1313_0752
ADU75505.1	Clo1313_2494
WP_003516337.1	Clo1313_1446
ADU74362.1	Clo1313_1299
ADU73319.1	Clo1313_0225
WP_003512777.1	Clo1313_0292
WP_003512590.1	Clo1313_1877
WP_003513270.1	Clo1313_0029
WP_003513639.1	Clo1313_2882
WP_003517200.1	Clo1313_1348
ADU73727.1	Clo1313_0647
ADU74078.1	Clo1313_1010
ADU75638.1	Clo1313_2639
WP_014522619.1	Clo1313_1610
ADU74026.1	Clo1313_0958
ADU74964.1	Clo1313_1913
WP_003515817.1	Clo1313_2484
ADU74846.1	Clo1313_1790
ADU73889.1	Clo1313_0820
WP_003512598.1	Clo1313_1874
ADU74233.1	Clo1313_1169
WP_003514187.1	Clo1313_2748
WP_003516780.1	Clo1313_2724
WP_003518573.1	Clo1313_1296
WP_003512576.1	Clo1313_1888
WP_003519233.1	Clo1313_0796
ADU74889.1	Clo1313_1833
ADU75610.1	Clo1313_2610
WP_003514867.1	Clo1313_0569
ADU74042.1	Clo1313_0974
ADU73737.1	Clo1313_0657
WP_003518677.1	Clo1313_1829
WP_003521255.1	Clo1313_1115
WP_003512252.1	Clo1313_2053
WP_003517649.1	Clo1313_1666
ADU74895.1	Clo1313_1842
WP_003514667.1	Clo1313_0467
ADU73713.1	Clo1313_0633
WP_003515954.1	Clo1313_2425
ADU75198.1	Clo1313_2157
ADU74356.1	Clo1313_1293
ADU75984.1	Clo1313_3006
WP_003512264.1	Clo1313_2048
ADU74525.1	Clo1313_1463
WP_003512772.1	Clo1313_0294
ADU74711.1	Clo1313_1654
WP_003519463.1	Clo1313_0819
ADU74144.1	Clo1313_1080
ADU74731.1	Clo1313_1674
WP_003518251.1	Clo1313_0857
ADU73950.1	Clo1313_0882
ADU74531.1	Clo1313_1469
WP_003516899.1	Clo1313_0593
ADU75707.1	Clo1313_2723
ADU73399.1	Clo1313_0308
ADU73390.1	Clo1313_0299
WP_003517653.1	Clo1313_1664
WP_003514305.1	Clo1313_0317
ADU75686.1	Clo1313_2702
ADU74739.1	Clo1313_1682
WP_003514815.1	Clo1313_0597
ADU75358.1	Clo1313_2336
WP_003513862.1	Clo1313_2586
WP_003520874.1	Clo1313_0260
ADU74725.1	Clo1313_1668
ADU74176.1	Clo1313_1112
ADU73815.1	Clo1313_0737
WP_003517381.1	Clo1313_2319
ADU73936.1	Clo1313_0868
WP_003516160.1	Clo1313_0675
ADU73488.1	Clo1313_0398
ADU73908.1	Clo1313_0839
WP_003514085.1	Clo1313_2693
ADU73342.1	Clo1313_0248
WP_003512578.1	Clo1313_1886
WP_003513763.1	Clo1313_2529
ADU74099.1	Clo1313_1031
WP_003515361.1	Clo1313_0318
ADU74580.1	Clo1313_1518
ADU74472.1	Clo1313_1410
WP_003515906.1	Clo1313_2443
WP_003516139.1	Clo1313_0713
ADU73900.1	Clo1313_0831
WP_003515555.1	Clo1313_1215
WP_003512173.1	Clo1313_2095
WP_003518618.1	Clo1313_1274
WP_003513083.1	Clo1313_0125
ADU74085.1	Clo1313_1017
ADU73920.1	Clo1313_0851
ADU74372.1	Clo1313_1309
ADU75493.1	Clo1313_2481
ADU75997.1	Clo1313_3019
ADU75332.1	Clo1313_2305
ADU74960.1	Clo1313_1909
WP_003518263.1	Clo1313_0853
ADU73330.1	Clo1313_0236
WP_003516155.1	Clo1313_0683
WP_003520913.1	Clo1313_1347
ADU74940.1	Clo1313_1888
ADU75044.1	Clo1313_1998
ADU74804.1	Clo1313_1747
WP_003512924.1	Clo1313_0211
ADU74259.1	Clo1313_1195
WP_003517965.1	Clo1313_1746
ADU75483.1	Clo1313_2470
WP_003511571.1	Clo1313_0638
ADU75479.1	Clo1313_2465
ADU73219.1	Clo1313_0122
ADU75304.1	Clo1313_2273
ADU73506.1	Clo1313_0417
ADU75419.1	Clo1313_2402
WP_003520245.1	Clo1313_2863
WP_003517864.1	Clo1313_2134
ADU75264.1	Clo1313_2231
WP_003513957.1	Clo1313_2634
ADU73677.1	Clo1313_0595
WP_003512684.1	Clo1313_1826
ADU74955.1	Clo1313_1904
ADU74178.1	Clo1313_1114
WP_003515822.1	Clo1313_2481
WP_003511746.1	Clo1313_0732
ADU75165.1	Clo1313_2124
ADU74996.1	Clo1313_1949
WP_003516021.1	Clo1313_2397
WP_003518616.1	Clo1313_1275
WP_003519039.1	Clo1313_1798
WP_014522593.1	Clo1313_0603
WP_003511730.1	Clo1313_0727
WP_003517726.1	Clo1313_2282
WP_003517378.1	Clo1313_2322
ADU75064.1	Clo1313_2020
ADU73813.1	Clo1313_0735
ADU75786.1	Clo1313_2806
ADU73783.1	Clo1313_0705
ADU73692.1	Clo1313_0612
ADU73767.1	Clo1313_0688
WP_003513545.1	Clo1313_2927
ADU75405.1	Clo1313_2388
ADU73162.1	Clo1313_0063
ADU74414.1	Clo1313_1351
WP_003517296.1	Clo1313_2366
WP_003518961.1	Clo1313_2199
ADU74118.1	Clo1313_1050
ADU74821.1	Clo1313_1764
WP_003512944.1	Clo1313_0202
WP_003518901.1	Clo1313_1030
ADU74019.1	Clo1313_0951
WP_003516413.1	Clo1313_0073
ADU73777.1	Clo1313_0699
WP_003517268.1	Clo1313_1312
ADU74841.1	Clo1313_1785
ADU75669.1	Clo1313_2677
ADU73299.1	Clo1313_0204
ADU73265.1	Clo1313_0170
WP_003512380.1	Clo1313_1979
ADU75050.1	Clo1313_2005
ADU75822.1	Clo1313_2842
WP_003517069.1	Clo1313_0908
ADU75391.1	Clo1313_2374
ADU74025.1	Clo1313_0957
ADU73285.1	Clo1313_0190
WP_003519458.1	Clo1313_0824
WP_003517666.1	Clo1313_1658
WP_003518171.1	Clo1313_1959
ADU73453.1	Clo1313_0363
WP_003513248.1	Clo1313_0042
WP_003512474.1	Clo1313_1933
ADU75524.1	Clo1313_2519
ADU75946.1	Clo1313_2968
ADU75861.1	Clo1313_2881
WP_003515837.1	Clo1313_2473
ADU74876.1	Clo1313_1820
WP_003513207.1	Clo1313_0063
ADU73324.1	Clo1313_0230
ADU74892.1	Clo1313_1838
WP_003518143.1	Clo1313_2973
ADU74780.1	Clo1313_1723
ADU73925.1	Clo1313_0857
WP_003518542.1	Clo1313_0477
ADU74007.1	Clo1313_0939
WP_037294864.1	Clo1313_0483
WP_003512779.1	Clo1313_0291
WP_003512486.1	Clo1313_1926
WP_003520327.1	Clo1313_1901
ADU74331.1	Clo1313_1268
WP_003515800.1	Clo1313_2495
ADU74489.1	Clo1313_1427
ADU73400.1	Clo1313_0309
WP_003517337.1	Clo1313_2344
WP_003513362.1	Clo1313_3026
WP_003511558.1	Clo1313_0634
WP_003515690.1	Clo1313_1142
WP_003518664.1	Clo1313_1249
ADU75893.1	Clo1313_2913
ADU74017.1	Clo1313_0949
ADU73460.1	Clo1313_0370
ADU75238.1	Clo1313_2198
ADU74758.1	Clo1313_1701
WP_003517819.1	Clo1313_2238
WP_003518807.1	Clo1313_0414
WP_003512434.1	Clo1313_1950
ADU73468.1	Clo1313_0378
ADU73416.1	Clo1313_0325
WP_003519085.1	Clo1313_1895
WP_003512293.1	Clo1313_2026
ADU75883.1	Clo1313_2903
WP_003516025.1	Clo1313_2394
ADU74276.1	Clo1313_1212
ADU73383.1	Clo1313_0292
WP_003513335.1	Clo1313_0004
WP_003515692.1	Clo1313_1141
WP_003513296.1	Clo1313_0014
ADU75940.1	Clo1313_2962
WP_003517194.1	Clo1313_1351
WP_003514158.1	Clo1313_2734
ADU75019.1	Clo1313_1972
ADU74495.1	Clo1313_1433
WP_003517839.1	Clo1313_2226
