Protein	Locus
WP_003515546.1	Clo1313_1221
ADU73596.1	Clo1313_0511
WP_003516128.1	Clo1313_0722
ADU73487.1	Clo1313_0397
WP_003519665.1	Clo1313_1422
WP_003511680.1	Clo1313_0701
WP_003513473.1	Clo1313_2962
ADU75156.1	Clo1313_2115
WP_003520853.1	Clo1313_0331
ADU74605.1	Clo1313_1543
ADU73323.1	Clo1313_0229
WP_003519002.1	Clo1313_2005
WP_003516120.1	Clo1313_0723
ADU73901.1	Clo1313_0832
WP_003511674.1	Clo1313_0694
ADU75753.1	Clo1313_2769
ADU75057.1	Clo1313_2013
WP_003516452.1	Clo1313_0022
WP_003516696.1	Clo1313_2791
ADU73659.1	Clo1313_0577
ADU74538.1	Clo1313_1476
ADU75490.1	Clo1313_2477
WP_003512157.1	Clo1313_2099
WP_003519439.1	Clo1313_1068
ADU73645.1	Clo1313_0563
ADU75331.1	Clo1313_2304
ADU74928.1	Clo1313_1876
WP_003513487.1	Clo1313_2955
ADU75424.1	Clo1313_2407
WP_003517873.1	Clo1313_2103
ADU75277.1	Clo1313_2245
ADU73333.1	Clo1313_0239
WP_003513948.1	Clo1313_2625
WP_003515825.1	Clo1313_2479
WP_003518533.1	Clo1313_0482
ADU74510.1	Clo1313_1448
ADU76002.1	Clo1313_3024
ADU73602.1	Clo1313_0517
WP_003515727.1	Clo1313_1124
WP_003516549.1	Clo1313_1605
ADU74920.1	Clo1313_1868
ADU74900.1	Clo1313_1847
ADU74298.1	Clo1313_1234
WP_003519036.1	Clo1313_1800
WP_003518390.1	Clo1313_2184
WP_003518182.1	Clo1313_1945
WP_003518605.1	Clo1313_1281
ADU73678.1	Clo1313_0596
ADU75073.1	Clo1313_2030
WP_003516850.1	Clo1313_2844
ADU73752.1	Clo1313_0672
WP_003513782.1	Clo1313_2538
WP_003512586.1	Clo1313_1879
WP_003513590.1	Clo1313_2905
ADU75398.1	Clo1313_2381
ADU75416.1	Clo1313_2399
ADU74407.1	Clo1313_1344
WP_003512828.1	Clo1313_0268
ADU74854.1	Clo1313_1798
WP_003517076.1	Clo1313_0904
ADU74058.1	Clo1313_0990
WP_003516061.1	Clo1313_0762
ADU73764.1	Clo1313_0684
WP_003514908.1	Clo1313_0550
ADU73443.1	Clo1313_0353
ADU73272.1	Clo1313_0177
ADU73743.1	Clo1313_0663
ADU75511.1	Clo1313_2500
ADU75382.1	Clo1313_2361
ADU74050.1	Clo1313_0982
ADU73296.1	Clo1313_0201
WP_003513585.1	Clo1313_2908
ADU75751.1	Clo1313_2767
WP_003515440.1	Clo1313_0224
ADU74869.1	Clo1313_1813
WP_003518639.1	Clo1313_1264
WP_003512463.1	Clo1313_1937
ADU75519.1	Clo1313_2510
ADU75876.1	Clo1313_2896
ADU74861.1	Clo1313_1805
WP_003514912.1	Clo1313_0548
WP_003513218.1	Clo1313_0060
ADU73311.1	Clo1313_0217
ADU74881.1	Clo1313_1825
WP_003517661.1	Clo1313_1660
WP_003519012.1	Clo1313_1985
ADU74793.1	Clo1313_1736
WP_003518690.1	Clo1313_1809
WP_003514151.1	Clo1313_2731
WP_003513363.1	Clo1313_3025
ADU73447.1	Clo1313_0357
WP_003514163.1	Clo1313_2736
ADU74344.1	Clo1313_1281
WP_003517090.1	Clo1313_0900
WP_003517768.1	Clo1313_2264
ADU74783.1	Clo1313_1726
ADU75219.1	Clo1313_2179
ADU74779.1	Clo1313_1722
WP_003518458.1	Clo1313_2956
ADU75318.1	Clo1313_2289
ADU74004.1	Clo1313_0936
ADU73473.1	Clo1313_0383
WP_003517712.1	Clo1313_2292
